0:   (1+0j)
1:   (1.0005111020760025+0j)
2:   (1.0008658486263866+0j)
3:   (1.000283406091829+0j)
4:   (1.000580042527301+0j)
5:   (1.000283571802398+0j)
6:   (1.0005168435206364+0j)
7:   (1.0004046085536888+0j)
8:   (1.000018626229165+0j)
9:   (0.9996706415601168+0j)
10:   (0.9994635408739073+0j)
11:   (1.00018843058299+0j)
12:   (1.0005220082817783+0j)
13:   (1.0005753255405443+0j)
14:   (1.00026596325441+0j)
15:   (1.0003052205367293+0j)
16:   (1.0001215289627876+0j)
17:   (1.0004120680085236+0j)
18:   (1.000436445348565+0j)
19:   (1.0008286174553094+0j)
20:   (1.0006623557824108+0j)
21:   (0.999658615224581+0j)
22:   (0.9995723483440979+0j)
23:   (0.9995314850016302+0j)
24:   (0.9995063990000504+0j)
25:   (0.9996301921207285+0j)
26:   (0.9998438255607145+0j)
27:   (0.9996515651099067+0j)
28:   (0.9996379265707916+0j)
29:   (1.0000514096718813+0j)
30:   (1.0000211525184122+0j)
31:   (1.000249374450592+0j)
32:   (0.9997430784325274+0j)
33:   (0.9997008683903443+0j)
34:   (0.9996771074554568+0j)
35:   (0.9999056399892677+0j)
36:   (1.0002428428815573+0j)
37:   (1.001136549209448+0j)
38:   (1.001401775964628+0j)
39:   (1.0018655165424315+0j)
40:   (1.001952701273941+0j)
41:   (0.9996184333827294+0j)
42:   (0.9996024988428995+0j)
43:   (0.9995286217427228+0j)
44:   (0.9996905556542484+0j)
45:   (0.9991638097163485+0j)
46:   (0.9984867099925286+0j)
47:   (0.9981968595017995+0j)
48:   (0.9978255665390978+0j)
49:   (0.997516618912269+0j)
50:   (0.9977519410967265+0j)
51:   (1.0001211898201459+0j)
52:   (1.000051066200636+0j)
53:   (1.0001998619417791+0j)
54:   (1.0002441593965614+0j)
55:   (1.0002120294615833+0j)
56:   (0.999951503977025+0j)
57:   (1.0000735748754306+0j)
58:   (1.0001164943451974+0j)
59:   (0.9997239726405469+0j)
60:   (1.0001805594139166+0j)
61:   (0.9997907994033502+0j)
62:   (0.9994233441860855+0j)
63:   (0.9992175521152503+0j)
64:   (0.9991123435301303+0j)
65:   (0.9987028316950791+0j)
66:   (0.998781821988039+0j)
67:   (0.9987350168459869+0j)
68:   (0.9987697881844978+0j)
69:   (0.998259223071475+0j)
70:   (0.9979335396965285+0j)
71:   (0.9997926057202622+0j)
72:   (0.9991282734298224+0j)
73:   (0.9989477924595292+0j)
74:   (0.99907740402427+0j)
75:   (0.99926811716312+0j)
76:   (0.999015312112635+0j)
77:   (0.998460512362065+0j)
78:   (0.9985047533264124+0j)
79:   (0.9986328884316442+0j)
80:   (0.9984707589347473+0j)
81:   (0.9992179915936963+0j)
82:   (0.9991713304350391+0j)
83:   (0.9988675631264382+0j)
84:   (0.9983309673467102+0j)
85:   (0.9977108597113146+0j)
86:   (0.9975058792689118+0j)
87:   (0.9979989758859449+0j)
88:   (0.9981756305410409+0j)
89:   (0.9975183738236292+0j)
90:   (0.9973382461149666+0j)
91:   (1.0000585318592303+0j)
92:   (1.0003118171512433+0j)
93:   (0.9999973093347942+0j)
94:   (1.0001164662878108+0j)
95:   (1.0005562528036325+0j)
96:   (1.0000516566413087+0j)
97:   (0.9993744653405713+0j)
98:   (0.9999801342610404+0j)
99:   (0.9995782920162012+0j)
100:   (0.9991786102740822+0j)
101:   (0.9997945360376311+0j)
102:   (0.9994052131902613+0j)
103:   (0.9995628223240621+0j)
104:   (0.998959637993669+0j)
105:   (0.9992938568425006+0j)
106:   (0.9992260862437052+0j)
107:   (0.9992003159725186+0j)
108:   (0.9990222545004067+0j)
109:   (0.9983757565451528+0j)
110:   (0.9983128740130438+0j)
111:   (1.0001646081920963+0j)
112:   (1.0000849232444866+0j)
113:   (0.9999868787248872+0j)
114:   (0.9997337461598608+0j)
115:   (0.9993006042394652+0j)
116:   (0.9989276145752638+0j)
117:   (0.9989676570428446+0j)
118:   (0.9986387550854133+0j)
119:   (0.9984936964547055+0j)
120:   (0.9979098272013827+0j)
121:   (0.9992278244521954+0j)
122:   (0.9989210099641962+0j)
123:   (0.998968249125159+0j)
124:   (0.9986213608002579+0j)
125:   (0.9982019323163341+0j)
126:   (0.9975704415355924+0j)
127:   (0.9977207622299161+0j)
128:   (0.9971285442365015+0j)
129:   (0.9971581282939953+0j)
130:   (0.9971346556301026+0j)
131:   (1.000683848469601+0j)
132:   (0.9999473489966717+0j)
133:   (0.9994500130758449+0j)
134:   (0.9987639497004986+0j)
135:   (0.998797534389536+0j)
136:   (0.9987965970898683+0j)
137:   (0.9984562553437389+0j)
138:   (0.9978408677675225+0j)
139:   (0.9979075293461231+0j)
140:   (0.997703213036145+0j)
141:   (0.9994106345218159+0j)
142:   (0.9994589341997794+0j)
143:   (0.9986774102361508+0j)
144:   (0.998529035640338+0j)
145:   (0.9984874731290214+0j)
146:   (0.998273522895114+0j)
147:   (0.998258973312562+0j)
148:   (0.9975161282991865+0j)
149:   (0.9973258787884979+0j)
150:   (0.9971514159348304+0j)
151:   (0.9995874365664934+0j)
152:   (1.0001554896957916+0j)
153:   (0.9998494395859432+0j)
154:   (0.9996144297391947+0j)
155:   (0.9991881797799961+0j)
156:   (0.9986475693984437+0j)
157:   (0.9981252795969008+0j)
158:   (0.9975008507611801+0j)
159:   (0.9971783255176299+0j)
160:   (0.9966724308182755+0j)
161:   (0.9997290864206456+0j)
162:   (0.9997934588324555+0j)
163:   (0.9988928706922152+0j)
164:   (0.9985067725705231+0j)
165:   (0.9989676462431412+0j)
166:   (0.9992491881559029+0j)
167:   (0.9988308858842608+0j)
168:   (0.998113767551596+0j)
169:   (0.9982216643011375+0j)
170:   (0.998101955313326+0j)
171:   (1.000042981900386+0j)
172:   (0.9999474569883895+0j)
173:   (0.9990613112845139+0j)
174:   (0.9990815371148886+0j)
175:   (0.9990166088949222+0j)
176:   (0.9980510642336915+0j)
177:   (0.9976684677101534+0j)
178:   (0.9973215018877122+0j)
179:   (0.9962799602303742+0j)
180:   (0.9966444474126229+0j)
181:   (0.999914145053938+0j)
182:   (1.0001170448919972+0j)
183:   (0.9994038678224089+0j)
184:   (0.9996850455614702+0j)
185:   (0.9992826192685589+0j)
186:   (0.9993458514456963+0j)
187:   (0.9994196569422902+0j)
188:   (0.9988621052653398+0j)
189:   (0.9979734635773727+0j)
190:   (0.9976755307706151+0j)
191:   (0.999317758785567+0j)
192:   (0.9991667414308434+0j)
193:   (0.9982771275897816+0j)
194:   (0.9973219456338368+0j)
195:   (0.9969684492063597+0j)
196:   (0.9966730569403183+0j)
197:   (0.9964215028032486+0j)
198:   (0.9963536393839175+0j)
199:   (0.9953528995461579+0j)
200:   (0.9945356886087282+0j)
201:   (0.9993287923242203+0j)
202:   (0.9989365867116028+0j)
203:   (0.9983199798170472+0j)
204:   (0.9977298279866875+0j)
205:   (0.9974809624121624+0j)
206:   (0.9961979256011052+0j)
207:   (0.9957009648428545+0j)
208:   (0.9953854951641138+0j)
209:   (0.9948947834061298+0j)
210:   (0.9951710482898247+0j)
211:   (0.9996033596243855+0j)
212:   (0.9987109359168528+0j)
213:   (0.998575740610595+0j)
214:   (0.9980582269530494+0j)
215:   (0.9981981307456707+0j)
216:   (0.9979013450459001+0j)
217:   (0.9971323576373383+0j)
218:   (0.9963261681506829+0j)
219:   (0.9961517504107338+0j)
220:   (0.9961008291549647+0j)
221:   (0.9992874181321555+0j)
222:   (0.9983718694929851+0j)
223:   (0.9974165795203744+0j)
224:   (0.9965542693586356+0j)
225:   (0.9963354663300418+0j)
226:   (0.9959070695503133+0j)
227:   (0.9957726690332166+0j)
228:   (0.9954649603913542+0j)
229:   (0.9954721467164905+0j)
230:   (0.9947212319183301+0j)
231:   (0.9992449165941664+0j)
232:   (0.9987035229278898+0j)
233:   (0.9976878036902803+0j)
234:   (0.9973940351323859+0j)
235:   (0.9974323333666288+0j)
236:   (0.9962261021374186+0j)
237:   (0.9953255069178033+0j)
238:   (0.9950587388413809+0j)
239:   (0.9948864911912567+0j)
240:   (0.9941057232781533+0j)
241:   (0.9996663333887871+0j)
242:   (0.9997923241504421+0j)
243:   (0.999913180334601+0j)
244:   (0.9991840533231996+0j)
245:   (0.9991158082892817+0j)
246:   (0.9982196478961655+0j)
247:   (0.9975501677547982+0j)
248:   (0.9972322086308084+0j)
249:   (0.996892711230335+0j)
250:   (0.996589741416972+0j)
251:   (0.9994971168578757+0j)
252:   (0.9987885254645146+0j)
253:   (0.998515575112783+0j)
254:   (0.9983029391621244+0j)
255:   (0.9977274074543322+0j)
256:   (0.9970847326699618+0j)
