0:   (1+0j)
1:   (1.0020897488347402+0j)
2:   (1.0015351322954107+0j)
3:   (1.0042447385957793+0j)
4:   (1.0088697853161277+0j)
5:   (1.0060436586546437+0j)
6:   (1.00324631487098+0j)
7:   (1.0053569167758478+0j)
8:   (1.0079817254913928+0j)
9:   (1.0067526188963574+0j)
10:   (1.012533485139073+0j)
11:   (0.9975532931787442+0j)
12:   (0.996584810304344+0j)
13:   (0.9921731755270862+0j)
14:   (0.9886614565848612+0j)
15:   (0.984420890693177+0j)
16:   (1.0034276391075458+0j)
17:   (1.0024004036654053+0j)
18:   (0.9984009395870312+0j)
19:   (0.9999417727354004+0j)
20:   (0.9985357177566718+0j)
21:   (1.0014527483324833+0j)
22:   (0.9974274747516786+0j)
23:   (0.9957928740135621+0j)
24:   (0.9962726920645391+0j)
25:   (0.9941308922567166+0j)
26:   (1.0006410018842236+0j)
27:   (1.0003689534085618+0j)
28:   (0.9974297939272253+0j)
29:   (0.9926259079556462+0j)
30:   (0.9880175533438239+0j)
31:   (1.0022252484256522+0j)
32:   (1.004670492942206+0j)
33:   (1.0003411710360195+0j)
34:   (0.9984064161179015+0j)
35:   (0.9945915212452112+0j)
36:   (0.9993442008550644+0j)
37:   (0.9939005345168214+0j)
38:   (0.9918720846692709+0j)
39:   (0.9861018218885542+0j)
40:   (0.9833278068105129+0j)
41:   (0.9953170345426052+0j)
42:   (0.9942007533635866+0j)
43:   (0.9935028408742261+0j)
44:   (0.9946343420133771+0j)
45:   (0.9885802302152753+0j)
46:   (0.9921680245207399+0j)
47:   (0.988767395320846+0j)
48:   (0.9868071276845838+0j)
49:   (0.9813829029178439+0j)
50:   (0.9764437547000926+0j)
51:   (0.996801138145961+0j)
52:   (0.99926711574266+0j)
53:   (0.9960765632223681+0j)
54:   (0.9909637584318401+0j)
55:   (0.9867083268115973+0j)
56:   (0.9919864006200678+0j)
57:   (0.9910310984468588+0j)
58:   (0.9868821285095867+0j)
59:   (0.9801918609493314+0j)
60:   (0.9763479387645535+0j)
61:   (0.9952129362182162+0j)
62:   (0.9899111224767828+0j)
63:   (0.9832634176703396+0j)
64:   (0.9757546028569588+0j)
65:   (0.9706283518392536+0j)
66:   (0.9975052964712281+0j)
67:   (0.9930041862291961+0j)
68:   (0.9838225040614681+0j)
69:   (0.9818528254089043+0j)
70:   (0.9750516157191549+0j)
71:   (0.9944889328768197+0j)
72:   (0.9906550375873691+0j)
73:   (0.9858049526343375+0j)
74:   (0.9866316029432549+0j)
75:   (0.9885129320300493+0j)
76:   (0.9906607512930955+0j)
77:   (0.9884395771134237+0j)
78:   (0.9843395738868482+0j)
79:   (0.9792657575775988+0j)
80:   (0.9781761526789354+0j)
81:   (0.9993315495438435+0j)
82:   (0.9918263309814895+0j)
83:   (0.9908444036807575+0j)
84:   (0.987165200091585+0j)
85:   (0.9818130086111528+0j)
86:   (0.9923059762783619+0j)
87:   (0.9916498098337478+0j)
88:   (0.9867609174833228+0j)
89:   (0.98395095739698+0j)
90:   (0.9826355962234788+0j)
91:   (0.9961506036829385+0j)
92:   (0.9947366693412683+0j)
93:   (0.9872280037197746+0j)
94:   (0.9822830308168543+0j)
95:   (0.9805880006831673+0j)
96:   (0.997092291247025+0j)
97:   (0.9942437113000219+0j)
98:   (0.9875431236337743+0j)
99:   (0.981480888559009+0j)
100:   (0.9759116340453623+0j)
101:   (0.9941101365402988+0j)
102:   (0.9865436792925694+0j)
103:   (0.9829399342596187+0j)
104:   (0.981562551205306+0j)
105:   (0.9775287166518486+0j)
106:   (0.9952314242680761+0j)
107:   (0.9902062269935934+0j)
108:   (0.9830545423455511+0j)
109:   (0.9792942154672496+0j)
110:   (0.9742074925103569+0j)
111:   (0.9960640296976349+0j)
112:   (0.9946187172379262+0j)
113:   (0.9909910374917544+0j)
114:   (0.9901353469840815+0j)
115:   (0.9849657249190641+0j)
116:   (0.996523336449355+0j)
117:   (0.9932879534546419+0j)
118:   (0.989870566949314+0j)
119:   (0.9855719039764124+0j)
120:   (0.9816907511511375+0j)
