0:   (1+0j)
1:   (1.0003398465992739+0j)
2:   (1.0008154701322491+0j)
3:   (1.0008555411188937+0j)
4:   (1.0007874187096948+0j)
5:   (1.0005297716095005+0j)
6:   (1.0005528809636117+0j)
7:   (1.0006700378519096+0j)
8:   (1.000328972386831+0j)
9:   (1.000070107000303+0j)
10:   (1.0003698932305038+0j)
11:   (0.999751831153201+0j)
12:   (0.9999344161622052+0j)
13:   (0.9997009669051811+0j)
14:   (0.9996510607084186+0j)
15:   (0.9994789765481561+0j)
16:   (0.9993201369030486+0j)
17:   (0.9995327833245797+0j)
18:   (0.9994439433289547+0j)
19:   (0.9984705218907084+0j)
20:   (0.9981690968772505+0j)
21:   (0.9985738160728093+0j)
22:   (0.9984871923075311+0j)
23:   (0.999018421664895+0j)
24:   (0.9996162131862941+0j)
25:   (0.9996139756274213+0j)
26:   (0.9993488861696455+0j)
27:   (0.9997630906953188+0j)
28:   (1.0003611656835794+0j)
29:   (1.0002866307596243+0j)
30:   (1.000800832547921+0j)
31:   (1.0006021351511085+0j)
32:   (1.0011712979731302+0j)
33:   (1.000955095040466+0j)
34:   (1.001067515389182+0j)
35:   (1.0014701653818436+0j)
36:   (1.001907847410618+0j)
37:   (1.0008953098511628+0j)
38:   (1.000800036214789+0j)
39:   (1.0008178825897618+0j)
40:   (1.0013811336894383+0j)
41:   (1.0013338452724996+0j)
42:   (1.0014253664425539+0j)
43:   (1.000997183750902+0j)
44:   (1.0014263235459873+0j)
45:   (1.0020194892119225+0j)
46:   (1.0023519910905658+0j)
47:   (1.0025918273025258+0j)
48:   (1.0019711813617993+0j)
49:   (1.0015314720995523+0j)
50:   (1.001103436708416+0j)
51:   (0.9998208280102078+0j)
52:   (0.9979411038704602+0j)
53:   (0.9973768379145038+0j)
54:   (0.997524929306451+0j)
55:   (0.9972091413536268+0j)
56:   (0.9971718103899718+0j)
57:   (0.9981559448056059+0j)
58:   (0.9977306535268731+0j)
59:   (0.9974848695213625+0j)
60:   (0.997380252841624+0j)
61:   (0.9974299970131306+0j)
62:   (0.9979109492981216+0j)
63:   (0.9966180164985587+0j)
64:   (0.9969337086086305+0j)
65:   (0.9970574827052793+0j)
66:   (0.9968495589487774+0j)
67:   (0.9971764232135786+0j)
68:   (0.9979891090595957+0j)
69:   (0.9979213040081377+0j)
70:   (0.9980400955287753+0j)
71:   (0.9982255274498223+0j)
72:   (0.9979259083463251+0j)
73:   (0.9986225539650877+0j)
74:   (0.9984605491376342+0j)
75:   (0.9986079942716781+0j)
76:   (0.9981334755000035+0j)
77:   (0.9983799343358917+0j)
78:   (0.997885092321543+0j)
79:   (0.9979601168140357+0j)
80:   (0.9972484789095251+0j)
81:   (0.9966423415487562+0j)
82:   (0.996710767791208+0j)
83:   (0.9972173788649572+0j)
84:   (0.996898111949868+0j)
85:   (0.9954262531007755+0j)
86:   (0.9947393804547828+0j)
87:   (0.9947429590130048+0j)
88:   (0.9938548341616508+0j)
89:   (0.9926405938783699+0j)
90:   (0.9926113802050748+0j)
91:   (0.9918891689088201+0j)
92:   (0.9927452381494059+0j)
93:   (0.9927698417021381+0j)
94:   (0.9927120214271704+0j)
95:   (0.992632660990469+0j)
96:   (0.9920681652030928+0j)
97:   (0.9920977863339294+0j)
98:   (0.9925195160464032+0j)
99:   (0.9922283607363084+0j)
100:   (0.9921952815574571+0j)
